Time,DI1,DI2,DI3,DI4,DI5,DI6,I1L_valid,V1 [10nV],I1L [10pA],I1H [nA],V1,I1L,I1H
,1,0,1,1,1,0,1,133269,-99609,-500583,0.00133269,-9.9609E-07,-0.000500583
,1,0,1,1,1,0,1,133147,-94788,-498549,0.00133147,-9.4788E-07,-0.000498549
,1,0,1,1,1,0,1,132903,-92457,-497372,0.00132903,-9.2457E-07,-0.000497372
,1,0,1,1,1,0,1,134370,-96366,-501124,0.0013437,-9.6366E-07,-0.000501124
,1,0,1,1,1,0,1,133392,-91948,-501569,0.00133392,-9.1948E-07,-0.000501569
,1,0,1,1,1,0,1,133758,-93421,-502618,0.00133758,-9.3421E-07,-0.000502618
,1,0,1,1,1,0,1,132658,-94964,-501759,0.00132658,-9.4964E-07,-0.000501759
,1,0,1,1,1,0,1,132169,-96664,-499693,0.00132169,-9.6664E-07,-0.000499693
,1,0,1,1,1,0,1,133025,-93351,-500170,0.00133025,-9.3351E-07,-0.00050017
,1,0,1,1,1,0,1,133392,-93894,-499057,0.00133392,-9.3894E-07,-0.000499057
,1,0,1,1,1,0,1,132780,-93772,-498962,0.0013278,-9.3772E-07,-0.000498962
,1,0,1,1,1,0,1,132536,-93351,-498072,0.00132536,-9.3351E-07,-0.000498072
,1,0,1,1,1,0,1,132536,-95753,-499693,0.00132536,-9.5753E-07,-0.000499693
,1,0,1,1,1,0,1,132536,-99434,-499757,0.00132536,-9.9434E-07,-0.000499757
,1,0,1,1,1,0,1,133269,-98785,-499884,0.00133269,-9.8785E-07,-0.000499884
,1,0,1,1,1,0,1,132780,-93947,-497531,0.0013278,-9.3947E-07,-0.000497531
,1,0,1,1,1,0,1,132780,-92930,-496705,0.0013278,-9.293E-07,-0.000496705
,1,0,1,1,1,0,1,133881,-92860,-501473,0.00133881,-9.286E-07,-0.000501473
,1,0,1,1,1,0,1,133636,-90528,-500933,0.00133636,-9.0528E-07,-0.000500933
,1,0,1,1,1,0,1,133147,-91966,-498835,0.00133147,-9.1966E-07,-0.000498835
,1,0,1,1,1,0,1,132780,-89950,-497786,0.0013278,-8.995E-07,-0.000497786
,1,0,1,1,1,0,1,133269,-90616,-495211,0.00133269,-9.0616E-07,-0.000495211
1550139520,1,0,1,1,1,0,1,133881,-90108,-496006,0.00133881,-9.0108E-07,-0.000496006
,1,0,1,1,1,0,1,133881,-92878,-499979,0.00133881,-9.2878E-07,-0.000499979
,1,0,1,1,1,0,1,133758,-97102,-499693,0.00133758,-9.7102E-07,-0.000499693
,1,0,1,1,1,0,1,134003,-93596,-498453,0.00134003,-9.3596E-07,-0.000498453
,1,0,1,1,1,0,1,133758,-93509,-498644,0.00133758,-9.3509E-07,-0.000498644
,1,0,1,1,1,0,1,133147,-95192,-498867,0.00133147,-9.5192E-07,-0.000498867
,1,0,1,1,1,0,1,132169,-92632,-500392,0.00132169,-9.2632E-07,-0.000500392
,1,0,1,1,1,0,1,131924,-91124,-499629,0.00131924,-9.1124E-07,-0.000499629
,1,0,1,1,1,0,1,132780,-93947,-500265,0.0013278,-9.3947E-07,-0.000500265
,1,0,1,1,1,0,1,134003,-96804,-499121,0.00134003,-9.6804E-07,-0.000499121
,1,0,1,1,1,0,1,133758,-92369,-499598,0.00133758,-9.2369E-07,-0.000499598
,1,0,1,1,1,0,1,133147,-89021,-498517,0.00133147,-8.9021E-07,-0.000498517
,1,0,1,1,1,0,1,132903,-93246,-499121,0.00132903,-9.3246E-07,-0.000499121
,1,0,1,1,1,0,1,132169,-95945,-500138,0.00132169,-9.5945E-07,-0.000500138
,1,0,1,1,1,0,1,131802,-94210,-498199,0.00131802,-9.421E-07,-0.000498199
,1,0,1,1,1,0,1,133147,-92492,-500583,0.00133147,-9.2492E-07,-0.000500583
,1,0,1,1,1,0,1,133758,-92141,-499947,0.00133758,-9.2141E-07,-0.000499947
,1,0,1,1,1,0,1,132780,-92913,-500551,0.0013278,-9.2913E-07,-0.000500551
,1,0,1,1,1,0,1,133025,-98943,-501251,0.00133025,-9.8943E-07,-0.000501251
,1,0,1,1,1,0,1,133025,-97558,-499089,0.00133025,-9.7558E-07,-0.000499089
,1,0,1,1,1,0,1,133392,-97120,-497500,0.00133392,-9.712E-07,-0.0004975
,1,0,1,1,1,0,1,133758,-94771,-497754,0.00133758,-9.4771E-07,-0.000497754
,1,0,1,1,1,0,1,133514,-93789,-498517,0.00133514,-9.3789E-07,-0.000498517
,1,0,1,1,1,0,1,134003,-98435,-497500,0.00134003,-9.8435E-07,-0.0004975
,1,0,1,1,1,0,1,133758,-97751,-498390,0.00133758,-9.7751E-07,-0.00049839
,1,0,1,1,1,0,1,133392,-100872,-500615,0.00133392,-1.00872E-06,-0.000500615
,1,0,1,1,1,0,1,133147,-96436,-499820,0.00133147,-9.6436E-07,-0.00049982
,1,0,1,1,1,0,1,132169,-94420,-500170,0.00132169,-9.442E-07,-0.00050017
,1,0,1,1,1,0,1,131313,-94087,-502459,0.00131313,-9.4087E-07,-0.000502459
,1,0,1,1,1,0,1,131313,-93439,-501410,0.00131313,-9.3439E-07,-0.00050141
,1,0,1,1,1,0,1,132291,-94175,-499757,0.00132291,-9.4175E-07,-0.000499757
,1,0,1,1,1,0,1,132780,-94315,-498040,0.0013278,-9.4315E-07,-0.00049804
,1,0,1,1,1,0,1,132903,-94859,-498040,0.00132903,-9.4859E-07,-0.00049804
,1,0,1,1,1,0,1,133514,-92054,-498549,0.00133514,-9.2054E-07,-0.000498549
,1,0,1,1,1,0,1,133147,-92580,-500837,0.00133147,-9.258E-07,-0.000500837
